congestion value : 4, drive info : CLMA_62_172:Q1, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcp_top/pipe_req_cmd [0]
congestion value : 1, drive info : CLMA_138_185:Y0, design net name : Image_Process_Interface_Inst/Frame_WR_Interface_Inst2/FIFO_16x4096x128_Inst/U_ipml_fifo_FIFO_16x4096x128/U_ipml_fifo_ctrl/N2 [12]
congestion value : 1, drive info : CLMA_98_132:Q3, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcp_top/mcdq_dcp_back_ctrl/TWRA2ACT_LOOP[1].twra2act_timing/timing_cnt [2]
congestion value : 1, drive info : CLMS_22_169:Q3, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/ddrphy_slice_top/i_dqs_group[0].u_ddrphy_data_slice/data_slice_wrlvl/vld_init_cnt [0]
congestion value : 1, drive info : CLMA_42_164:Y1, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/wrlvl_dqs_resp
congestion value : 1, drive info : CLMA_30_125:Q3, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/ddrphy_slice_top/i_dqs_group[0].u_ddrphy_data_slice/dqsi_rdel_cal/rdel_ctrl [0]
congestion value : 1, drive info : CLMS_98_169:Q3, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_ui_axi/u_user_cmd_fifo/data_1 [46]
congestion value : 1, drive info : CLMA_154_169:Y2, design net name : DDR3_Interface_Inst/DDR_Arbitration_WR_Ctrl_Inst/_N8422
congestion value : 1, drive info : CLMS_18_153:Q2, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/ddrphy_slice_top/dqs_read_data [20]
congestion value : 1, drive info : CLMA_66_164:Y1, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcp_top/mcdq_dcp_out/_N44236
congestion value : 1, drive info : CLMA_30_129:Q1, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/ddrphy_slice_top/i_dqs_group[0].u_ddrphy_data_slice/dqsi_rdel_cal/state_reg [11]
congestion value : 1, drive info : CLMA_46_168:Y3, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/ddrphy_calib_top/ddrphy_wrlvl/dbg_wrlvl [2]
congestion value : 1, drive info : CLMS_46_169:Q1, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/ddrphy_calib_top/ddrphy_wrlvl/wrlvl_state_reg [1]
congestion value : 1, drive info : CLMS_70_173:Q1, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcp_top/pipe_req_addr [3]
congestion value : 1, drive info : CLMA_62_160:Q3, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/norm_addr_m [6]
congestion value : 1, drive info : CLMA_138_177:Y0, design net name : Image_Process_Interface_Inst/Frame_WR_Interface_Inst2/FIFO_16x4096x128_Inst/U_ipml_fifo_FIFO_16x4096x128/U_ipml_fifo_ctrl/N2 [4]
congestion value : 1, drive info : CLMS_102_157:Q3, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcd_top/dec_addr [22]
congestion value : 1, drive info : CLMA_94_148:Y1, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcp_top/mcdq_dcp_buf/B_ipsxb_distributed_fifo/u_ipsxb_distributed_fifo_distributed_fifo_v1_0/u_ipsxb_distributed_fifo_ctr/wgnext [2]
congestion value : 1, drive info : CLMA_14_164:Y2, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/ddrphy_slice_top/dqs_read_data [0]
congestion value : 1, drive info : SRB_112_192:ZQS[0], design net name : Image_Process_Interface_Inst/Frame_WR_Interface_Inst3/FIFO_16x4096x128_Inst/U_ipml_fifo_FIFO_16x4096x128/wr_addr [5]
congestion value : 1, drive info : SRB_112_192:ZQS[3], design net name : Image_Process_Interface_Inst/Frame_WR_Interface_Inst3/FIFO_16x4096x128_Inst/U_ipml_fifo_FIFO_16x4096x128/wr_addr [7]
congestion value : 1, drive info : SRB_16_152:ZQS[5], design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/ddrphy_slice_top/i_dqs_group[1].u_ddrphy_data_slice/read_data_valid
congestion value : 1, drive info : SRB_112_200:ZQS[0], design net name : Image_Process_Interface_Inst/Frame_WR_Interface_Inst3/FIFO_16x4096x128_Inst/U_ipml_fifo_FIFO_16x4096x128/wr_addr [12]
congestion value : 1, drive info : CLMA_30_148:Q0, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/ddrphy_calib_top/rdcal/rdcal_state_reg [11]
congestion value : 1, drive info : CLMA_90_160:Y3, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcp_top/mcdq_dcp_buf/A_ipsxb_distributed_fifo/u_ipsxb_distributed_fifo_distributed_fifo_v1_0/u_ipsxb_distributed_fifo_ctr/rgnext [1]
congestion value : 1, drive info : SRB_96_172:ZQS[4], design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_wdatapath/mcdq_wdp_align/r_wvld_m
congestion value : 1, drive info : CLMS_62_173:Q1, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcp_top/pipe_req_cmd [1]
congestion value : 1, drive info : DRM_142_68:QB0[6], design net name : ddr_mbus_wdata2[107]
congestion value : 1, drive info : DRM_142_44:QB0[3], design net name : ddr_mbus_wdata2[55]
congestion value : 1, drive info : CLMA_110_157:Y1, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcd_top/mcdq_dcd_bm/_N7951
congestion value : 1, drive info : DRM_234_148:QB0[3], design net name : ddr_mbus_wdata0[59]
congestion value : 1, drive info : CLMA_154_173:Y0, design net name : Image_Process_Interface_Inst/Frame_WR_Interface_Inst0/mbus_wbusy_i [1]
congestion value : 1, drive info : CLMA_66_176:Y0, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dfi/N2076
congestion value : 1, drive info : CLMA_146_172:Q2, design net name : Image_Process_Interface_Inst/Frame_RD_Interface_Inst/video_vsync_i [2]
congestion value : 1, drive info : CLMA_146_172:Q3, design net name : Image_Process_Interface_Inst/Frame_WR_Interface_Inst0/mbus_wbusy_i [0]
congestion value : 1, drive info : SRB_48_176:ZQE[5], design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/calib_done
congestion value : 1, drive info : SRB_116_136:ZQW[0], design net name : DDR3_Interface_Inst/DDR_Arbitration_WR_Ctrl_Inst/_N9466
congestion value : 1, drive info : CLMS_118_157:Y2, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_ui_axi/N274
congestion value : 1, drive info : CLMS_42_153:Q3, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcp_top/pipe_req_cmd [2]
congestion value : 1, drive info : CLMA_94_104:Y0, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcp_top/mcdq_dcp_back_ctrl/N214
congestion value : 1, drive info : CLMS_46_141:Q1, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/ddrphy_calib_top/wrlvl_start
congestion value : 1, drive info : CLMS_50_129:Y3, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/ddrphy_calib_top/ddrphy_init/N233
congestion value : 1, drive info : CLMA_78_144:Q0, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcp_top/mcdq_dcp_back_ctrl/req_valid
congestion value : 1, drive info : CLMA_78_136:Y1, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcp_top/mcdq_dcp_back_ctrl/N1200
congestion value : 1, drive info : CLMA_90_172:Q0, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcp_top/mcdq_dcp_buf/A_ipsxb_distributed_fifo/u_ipsxb_distributed_fifo_distributed_fifo_v1_0/rd_addr [0]
congestion value : 1, drive info : CLMS_46_141:Q3, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/calib_done
congestion value : 1, drive info : CLMA_154_169:Y3, design net name : DDR3_Interface_Inst/DDR_Arbitration_WR_Ctrl_Inst/_N9466
