congestion value : 18, drive info : CLMA_78_168:Y3, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcp_top/mcdq_dcp_buf/A_ipsxb_distributed_fifo/u_ipsxb_distributed_fifo_distributed_fifo_v1_0/wr_en_real
congestion value : 7, drive info : CLMS_34_141:Q1, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/ddrphy_calib_top/rdcal/cnt [1]
congestion value : 7, drive info : CLMA_122_152:Y1, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_ui_axi/N258
congestion value : 7, drive info : SRB_72_148:ZQS[2], design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcp_top/mcdq_dcp_back_ctrl/req_rdata [1]
congestion value : 7, drive info : SRB_120_172:ZQN[1], design net name : Image_Process_Interface_Inst/Frame_WR_Interface_Inst2/fifo_wr_rst
congestion value : 7, drive info : CLMA_74_140:Y0, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcp_top/mcdq_dcp_back_ctrl/norm_cmd_m_wr
congestion value : 7, drive info : SRB_60_148:ZQS[3], design net name : DDR3_Interface_Inst/DDR3_Inst/ddr_rstn
congestion value : 7, drive info : CLMA_94_144:Q1, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcp_top/mcdq_dcp_buf/B_ipsxb_distributed_fifo/u_ipsxb_distributed_fifo_distributed_fifo_v1_0/rd_addr [1]
congestion value : 7, drive info : CLMA_90_168:Q2, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcp_top/mcdq_dcp_buf/A_ipsxb_distributed_fifo/u_ipsxb_distributed_fifo_distributed_fifo_v1_0/rd_addr [3]
congestion value : 6, drive info : CLMS_130_185:Y0, design net name : Image_Process_Interface_Inst/Frame_WR_Interface_Inst2/FIFO_16x4096x128_Inst/U_ipml_fifo_FIFO_16x4096x128/U_ipml_fifo_ctrl/rwptr2_b [10]
congestion value : 6, drive info : CLMA_162_164:Y1, design net name : Image_Process_Interface_Inst/Frame_WR_Interface_Inst2/N50
congestion value : 6, drive info : CLMA_182_168:Q1, design net name : Image_Process_Interface_Inst/Frame_WR_Interface_Inst1/FIFO_16x4096x128_Inst/U_ipml_fifo_FIFO_16x4096x128/wr_addr [1]
congestion value : 6, drive info : CLMS_174_169:Q1, design net name : Image_Process_Interface_Inst/Frame_WR_Interface_Inst0/FIFO_16x4096x128_Inst/U_ipml_fifo_FIFO_16x4096x128/wr_addr [1]
congestion value : 6, drive info : CLMS_174_169:Q3, design net name : Image_Process_Interface_Inst/Frame_WR_Interface_Inst0/FIFO_16x4096x128_Inst/U_ipml_fifo_FIFO_16x4096x128/wr_addr [3]
congestion value : 6, drive info : CLMS_150_177:Q1, design net name : DDR3_Interface_Inst/DDR_Arbitration_WR_Ctrl_Inst/device_encoder_buff [1]
congestion value : 6, drive info : CLMA_98_136:Q2, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcp_top/mcdq_dcp_buf/B_ipsxb_distributed_fifo/u_ipsxb_distributed_fifo_distributed_fifo_v1_0/full
congestion value : 6, drive info : CLMA_122_152:Y0, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_ui_axi/N254
congestion value : 6, drive info : CLMS_122_165:Y3, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_ui_axi/mcdq_reg_fifo2/N10
congestion value : 6, drive info : CLMS_98_173:Q2, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcd_top/dec_done
congestion value : 6, drive info : SRB_96_144:ZQW[5], design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcp_top/mcdq_dcp_buf/B_ipsxb_distributed_fifo/u_ipsxb_distributed_fifo_distributed_fifo_v1_0/rd_addr [3]
congestion value : 6, drive info : CLMA_122_164:Y1, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_ui_axi/N54
congestion value : 6, drive info : CLMS_98_137:Q1, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcp_top/mcdq_dcp_buf/B_ipsxb_distributed_fifo/u_ipsxb_distributed_fifo_distributed_fifo_v1_0/rd_addr [3]
congestion value : 6, drive info : CLMA_14_172:Y2, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/ddrphy_slice_top/wrlvl_ck_dly_start
congestion value : 6, drive info : DLL_7_186:CTRL_CODE[7], design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/dll_step [7]
congestion value : 6, drive info : CLMA_126_177:Q2, design net name : Image_Process_Interface_Inst/Frame_WR_Interface_Inst2/FIFO_16x4096x128_Inst/U_ipml_fifo_FIFO_16x4096x128/rd_addr [6]
congestion value : 5, drive info : CLMA_126_172:Y3, design net name : Image_Process_Interface_Inst/Frame_WR_Interface_Inst2/FIFO_16x4096x128_Inst/U_ipml_fifo_FIFO_16x4096x128/U_ipml_fifo_ctrl/rwptr2_b [8]
congestion value : 5, drive info : CLMS_122_181:Q2, design net name : Image_Process_Interface_Inst/Frame_WR_Interface_Inst2/FIFO_16x4096x128_Inst/U_ipml_fifo_FIFO_16x4096x128/U_ipml_fifo_ctrl/rwptr2 [14]
congestion value : 5, drive info : SRB_116_140:ZQW[4], design net name : DDR3_Interface_Inst/DDR_Arbitration_WR_Ctrl_Inst/_N9455
congestion value : 5, drive info : CLMA_182_168:Q3, design net name : Image_Process_Interface_Inst/Frame_WR_Interface_Inst1/FIFO_16x4096x128_Inst/U_ipml_fifo_FIFO_16x4096x128/wr_addr [3]
congestion value : 5, drive info : CLMA_90_148:Y2, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcp_top/mcdq_dcp_buf/N119
congestion value : 5, drive info : CLMS_38_173:Y6AB, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/ddrphy_slice_top/i_dqs_group[0].u_ddrphy_data_slice/data_slice_dqs_gate_cal/dqs_gate_coarse_cal/read_en_slipped [2]
congestion value : 5, drive info : CLMS_98_169:Y0, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_ui_axi/u_user_cmd_fifo/data_1 [19]
congestion value : 5, drive info : CLMA_30_157:Q0, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/gate_move_en
congestion value : 5, drive info : CLMS_14_181:Q3, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/ddrphy_slice_top/ck_check_done_tmp [1]
congestion value : 5, drive info : CLMA_226_16:Q1, design net name : coms1_reg_config/u1/cyc_count [0]
congestion value : 5, drive info : CLMS_102_201:Y0, design net name : Image_Process_Interface_Inst/Frame_WR_Interface_Inst3/FIFO_16x4096x128_Inst/U_ipml_fifo_FIFO_16x4096x128/U_ipml_fifo_ctrl/rrptr [11]
congestion value : 5, drive info : CLMA_30_165:Q1, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/ddrphy_slice_top/i_dqs_group[0].u_ddrphy_data_slice/data_slice_dqs_gate_cal/gatecal/gate_state_reg [0]
congestion value : 5, drive info : CLMA_58_145:Q0, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcp_top/mcdq_dcp_back_ctrl/tfaw_timing/cnt [0]
congestion value : 5, drive info : CLMA_62_156:Y0, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dfi/N524
congestion value : 5, drive info : CLMS_34_165:Q1, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/ddrphy_slice_top/i_dqs_group[0].u_ddrphy_data_slice/data_slice_dqs_gate_cal/coarse_slip_step [3]
congestion value : 5, drive info : CLMA_134_180:Q0, design net name : Image_Process_Interface_Inst/Frame_WR_Interface_Inst2/FIFO_16x4096x128_Inst/U_ipml_fifo_FIFO_16x4096x128/U_ipml_fifo_ctrl/wfull
congestion value : 5, drive info : SRB_96_144:ZQE[2], design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_wdatapath/data_out [0]
congestion value : 5, drive info : CLMA_118_156:Q2, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_ui_axi/pre_addr [17]
congestion value : 5, drive info : CLMS_294_77:Y1, design net name : ms72xx_ctl/iic_dri_rx/dsu
congestion value : 5, drive info : CLMA_126_180:Q1, design net name : Image_Process_Interface_Inst/Frame_WR_Interface_Inst2/FIFO_16x4096x128_Inst/U_ipml_fifo_FIFO_16x4096x128/U_ipml_fifo_ctrl/rempty
congestion value : 5, drive info : SRB_72_148:ZQS[3], design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcp_top/mcdq_dcp_back_ctrl/req_rdata [2]
congestion value : 5, drive info : CLMA_50_184:Q0, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/logic_rstn
congestion value : 5, drive info : CLMS_74_137:Y1, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcp_top/mcdq_dcp_back_ctrl/N1199
congestion value : 5, drive info : SRB_44_212:ZQS[3], design net name : DDR3_Interface_Inst/DDR3_Inst/ddr_rstn
congestion value : 5, drive info : CLMS_118_165:Y0, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_ui_axi/u_user_cmd_fifo/N10
congestion value : 5, drive info : CLMA_78_144:Q0, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcp_top/mcdq_dcp_back_ctrl/req_valid
congestion value : 5, drive info : CLMS_78_173:Q2, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcp_top/mcdq_dcp_buf/A_ipsxb_distributed_fifo/u_ipsxb_distributed_fifo_distributed_fifo_v1_0/wr_addr [2]
congestion value : 5, drive info : CLMS_46_145:Q2, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/ddrphy_calib_top/init_start
congestion value : 5, drive info : CLMS_66_129:Y0, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcp_top/mcdq_dcp_back_ctrl/norm_cmd_m_rda
congestion value : 5, drive info : CLMA_150_172:Y1, design net name : DDR3_Interface_Inst/DDR_Arbitration_WR_Ctrl_Inst/_N8379
congestion value : 5, drive info : CLMA_94_144:Q0, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcp_top/mcdq_dcp_buf/B_ipsxb_distributed_fifo/u_ipsxb_distributed_fifo_distributed_fifo_v1_0/rd_addr [0]
congestion value : 5, drive info : CLMA_74_140:Y1, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcp_top/mcdq_dcp_back_ctrl/norm_cmd_l_act
congestion value : 5, drive info : CLMS_94_141:Q1, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcp_top/mcdq_dcp_buf/B_ipsxb_distributed_fifo/u_ipsxb_distributed_fifo_distributed_fifo_v1_0/wr_addr [3]
congestion value : 5, drive info : CLMA_78_108:Y3, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcp_top/mcdq_dcp_back_ctrl/norm_cmd_l_wr
congestion value : 5, drive info : SRB_112_160:ZQS[3], design net name : DDR3_Interface_Inst/DDR3_Inst/ddr_rstn
congestion value : 5, drive info : CLMS_186_169:Q0, design net name : Image_Process_Interface_Inst/Frame_WR_Interface_Inst1/FIFO_16x4096x128_Inst/U_ipml_fifo_FIFO_16x4096x128/rd_addr [0]
congestion value : 4, drive info : CLMA_102_180:Y0, design net name : Image_Process_Interface_Inst/Frame_WR_Interface_Inst3/FIFO_16x4096x128_Inst/U_ipml_fifo_FIFO_16x4096x128/U_ipml_fifo_ctrl/rwptr2_b [4]
congestion value : 4, drive info : CLMA_154_176:Q1, design net name : Image_Process_Interface_Inst/Frame_WR_Interface_Inst0/state_current_reg [2]
congestion value : 4, drive info : CLMS_190_165:Y1, design net name : Image_Process_Interface_Inst/Frame_WR_Interface_Inst1/FIFO_16x4096x128_Inst/U_ipml_fifo_FIFO_16x4096x128/U_ipml_fifo_ctrl/rwptr2_b [5]
congestion value : 4, drive info : CLMA_62_140:Y1, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcp_top/mcdq_dcp_back_ctrl/tfaw_timing/TFAW_LOOP[0].mcdq_tfaw/N19
congestion value : 4, drive info : CLMA_122_168:Y2, design net name : DDR3_Interface_Inst/DDR_Arbitration_WR_Ctrl_Inst/DDR_WR_Ctrl_Inst/N187
congestion value : 4, drive info : CLMS_62_181:Q1, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/calib_norm_cmd_m [2]
congestion value : 4, drive info : CLMA_38_168:Y2, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/ddrphy_slice_top/i_dqs_group[0].u_ddrphy_data_slice/data_slice_dqs_gate_cal/dqs_gate_coarse_cal/read_en_slipped [1]
congestion value : 4, drive info : CLMS_62_181:Q3, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/calib_norm_cmd_m [3]
congestion value : 4, drive info : CLMA_62_180:Y0, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dfi/N549
congestion value : 4, drive info : CLMA_286_81:Q3, design net name : ms72xx_ctl/iic_dri_rx/trans_byte [1]
congestion value : 4, drive info : CLMA_150_176:Q1, design net name : Image_Process_Interface_Inst/Frame_WR_Interface_Inst2/video_vsync_i [1]
congestion value : 4, drive info : CLMA_22_172:Q0, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/ddrphy_slice_top/i_dqs_group[0].u_ddrphy_data_slice/data_slice_wrlvl/cnt [0]
congestion value : 4, drive info : CLMA_30_180:Q0, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/ddrphy_slice_top/i_dqs_group[1].u_ddrphy_data_slice/data_slice_dqs_gate_cal/coarse_slip_step [1]
congestion value : 4, drive info : CLMA_230_48:Q1, design net name : coms2_reg_config/u1/cyc_count [2]
congestion value : 4, drive info : CLMA_18_156:Y3, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/ddrphy_slice_top/i_dqs_group[0].u_ddrphy_data_slice/data_slice_wrlvl/N136
congestion value : 4, drive info : SRB_76_256:ZSE[5], design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_wdatapath/mcdq_wdp_align/r_wvld_m
congestion value : 4, drive info : CLMS_62_169:Y3, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dfi/_N44263
congestion value : 4, drive info : CLMS_226_57:Q0, design net name : coms2_reg_config/start
congestion value : 4, drive info : CLMS_38_157:Q1, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/mr0_ddr3 [4]
congestion value : 4, drive info : SRB_120_184:ZSSE[3], design net name : DDR3_Interface_Inst/DDR_Arbitration_RD_Ctrl_Inst/DDR_RD_Ctrl_Inst/N78
congestion value : 4, drive info : SRB_88_168:ZSS[1], design net name : DDR3_Interface_Inst/DDR_Arbitration_RD_Ctrl_Inst/DDR_RD_Ctrl_Inst/N78
congestion value : 4, drive info : SRB_148_168:ZSSW[0], design net name : Image_Process_Interface_Inst/Frame_WR_Interface_Inst3/fifo_rd_rst
congestion value : 4, drive info : CLMS_14_185:Y1, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/ddrphy_slice_top/i_dqs_group[1].u_ddrphy_data_slice/data_slice_wrlvl/N296
congestion value : 4, drive info : SRB_100_152:ZQN[3], design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcp_top/mcdq_dcp_buf/buffer_almost_full_b
congestion value : 4, drive info : CLMA_34_144:Y1, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/ddrphy_calib_top/rdcal/_N6575_inv
congestion value : 4, drive info : CLMA_102_172:Q0, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcd_top/mcdq_dcd_sm/state_reg [2]
congestion value : 4, drive info : CLMA_58_145:Q1, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcp_top/mcdq_dcp_back_ctrl/tfaw_timing/cnt [1]
congestion value : 4, drive info : CLMS_98_173:Q3, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcd_top/mcdq_dcd_bm/refresh_req
congestion value : 4, drive info : CLMA_34_180:Q1, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/ddrphy_slice_top/gate_check_pass_tmp [1]
congestion value : 4, drive info : CLMA_10_160:Y3, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/ddrphy_slice_top/i_dqs_group[0].u_ddrphy_data_slice/adj_wrdq_en [0]
congestion value : 4, drive info : CLMA_110_173:Q0, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcd_top/dec_new_valid
congestion value : 4, drive info : CLMS_282_77:Y3, design net name : ms72xx_ctl/iic_dri_rx/start
congestion value : 4, drive info : SRB_64_136:ZQE[5], design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/ddrphy_calib_top/rdcal_wrdata [80]
congestion value : 4, drive info : CLMA_42_136:Y1, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/ddrphy_info/N307
congestion value : 4, drive info : CLMA_186_172:Q2, design net name : Image_Process_Interface_Inst/Frame_WR_Interface_Inst1/FIFO_16x4096x128_Inst/U_ipml_fifo_FIFO_16x4096x128/U_ipml_fifo_ctrl/wfull
congestion value : 4, drive info : SRB_80_120:ZQE[2], design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/ddrphy_rst_n
congestion value : 4, drive info : CLMA_38_156:Y1, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/ddrphy_info/_N24631
congestion value : 4, drive info : CLMA_78_144:Q3, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcp_top/mcdq_dcp_back_ctrl/req_rdata [4]
congestion value : 4, drive info : SRB_128_184:ZSW[0], design net name : Image_Process_Interface_Inst/Frame_WR_Interface_Inst2/fifo_rd_rst
congestion value : 4, drive info : CLMS_42_153:Q3, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcp_top/pipe_req_cmd [2]
congestion value : 4, drive info : SRB_28_204:ZQW[0], design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/ddrphy_rst_n
congestion value : 4, drive info : SRB_68_100:ZQS[5], design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_wdatapath/data_out [1]
congestion value : 4, drive info : CLMS_46_141:Q0, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/ddrphy_calib_top/rdcal_start
congestion value : 4, drive info : SRB_148_180:ZQW[0], design net name : Image_Process_Interface_Inst/Frame_WR_Interface_Inst2/fifo_rd_rst
congestion value : 4, drive info : CLMS_130_181:Y2, design net name : DDR3_Interface_Inst/DDR_Arbitration_RD_Ctrl_Inst/N71
congestion value : 4, drive info : CLMA_126_168:Q0, design net name : DDR3_Interface_Inst/axi_awvalid
congestion value : 4, drive info : CLMS_50_129:Q0, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ddrphy_top/ddrphy_calib_top/ddrphy_init/mr_load_cnt [1]
congestion value : 4, drive info : SRB_96_116:ZQS[3], design net name : DDR3_Interface_Inst/DDR3_Inst/ddr_rstn
congestion value : 4, drive info : CLMA_118_164:Q1, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_ui_axi/pre_addr [24]
congestion value : 4, drive info : SRB_112_176:ZQS[2], design net name : DDR3_Interface_Inst/DDR3_Inst/ddr_rstn
congestion value : 4, drive info : SRB_92_112:ZSW[3], design net name : DDR3_Interface_Inst/DDR3_Inst/ddr_rstn
congestion value : 4, drive info : CLMS_78_133:Y1, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcp_top/mcdq_dcp_back_ctrl/N1205
congestion value : 4, drive info : CLMS_146_173:Y2, design net name : DDR3_Interface_Inst/DDR_Arbitration_WR_Ctrl_Inst/_N6780
congestion value : 4, drive info : SRB_144_168:ZQS[5], design net name : DDR3_Interface_Inst/DDR_Arbitration_WR_Ctrl_Inst/_N6801
congestion value : 4, drive info : CLMA_78_148:Y0, design net name : DDR3_Interface_Inst/DDR3_Inst/u_ipsxb_ddrc_top/mcdq_dcp_top/mcdq_dcp_buf/N198
congestion value : 4, drive info : SRB_136_168:ZQS[3], design net name : DDR3_Interface_Inst/DDR_Arbitration_RD_Ctrl_Inst/DDR_RD_Ctrl_Inst/N78
